Station A,Station B,Time,Line Code
38,41,4,AEL
41,42,4,AEL
42,43,4,AEL
43,52,4,AEL
51,50,4,DRL
54,55,4,EAL
55,7,4,EAL
7,56,4,EAL
56,57,4,EAL
57,58,4,EAL
58,59,4,EAL
59,60,4,EAL
60,61,4,EAL
61,62,4,EAL
62,63,4,EAL
63,65,4,EAL
63,64,3,EAL
69,68,5,ISL
68,67,3,ISL
67,25,4,ISL
25,0,5,ISL
0,1,6,ISL
1,26,5,ISL
26,27,4,ISL
27,28,3,ISL
28,29,4,ISL
29,30,5,ISL
30,31,6,ISL
31,32,4,ISL
32,33,4,ISL
33,34,5,ISL
34,35,5,ISL
35,36,6,ISL
71,70,7,KTL
70,4,7,KTL
4,5,3.5,KTL
5,15,4,KTL
15,6,6,KTL
6,7,5,KTL
7,8,3.5,KTL
8,9,3,KTL
9,10,7,KTL
10,11,4,KTL
11,12,5.5,KTL
12,13,4.5,KTL
13,14,6,KTL
14,37,7,KTL
37,44,4,KTL
44,45,3,KTL
56,76,4,MOL
76,77,5,MOL
77,78,6,MOL
78,79,3,MOL
79,80,5,MOL
80,81,3.5,MOL
81,82,3.5,MOL
82,83,4,MOL
38,41,3.5,TCL
41,39,4,TCL
39,49,4,TCL
49,20,4.5,TCL
20,42,4.35,TCL
42,50,5.7,TCL
50,40,4.64,TCL
30,31,5.21,TKL
31,44,6.36,TKL
44,45,7.73,TKL
45,46,3.6,TKL
46,47,5.47,TKL
47,48,6.53,TKL
0,1,5.6,TWL
1,2,5.13,TWL
2,3,5.74,TWL
3,4,5.18,TWL
4,5,4.95,TWL
5,15,4.3,TWL
15,16,4.32,TWL
16,17,5.45,TWL
17,18,3.54,TWL
18,19,5.4,TWL
19,20,6.82,TWL
20,21,5.6,TWL
21,22,5.46,TWL
22,23,6.13,TWL
23,24,3.16,TWL
54,66,6.8,WRL
66,84,3.54,WRL
84,49,3.97,WRL
49,19,4.27,WRL
19,85,5.75,WRL
85,86,6.46,WRL
86,87,6.33,WRL
87,88,3.12,WRL
88,89,6.25,WRL
89,90,3.54,WRL
90,91,5.9,WRL
1,72,3.26,SIL
72,73,4.62,SIL
73,74,5.98,SIL
74,75,6.34,SIL